MAILING_NAME,MAILING_ID,REPORT_ID,INTERVAL,ORIGINAL_HARD_BOUNCE,FORWARD_HARD_BOUNCE,ORIGINAL_SOFT_BOUNCE,FORWARD_SOFT_BOUNCE,ORIGINAL_GROSS_FORWARD,FORWARD_GROSS_FORWARD,ORIGINAL_GROSS_CONVERSION,FORWARD_GROSS_CONVERSION,OPT_IN,OPT_OUT,ORIGINAL_GROSS_CLICKSTREAM,FORWARD_GROSS_CLICKSTREAM,ORIGINAL_GROSS_CLICK_ALL,FORWARD_GROSS_CLICK_ALL,ORIGINAL_GROSS_DOCUMENT,FORWARD_GROSS_DOCUMENT,ORIGINAL_GROSS_MEDIA,FORWARD_GROSS_MEDIA,ORIGINAL_GROSS_OPEN_HTML,FORWARD_GROSS_OPEN_HTML,ORIGINAL_GROSS_OPEN_AOL,FORWARD_GROSS_OPEN_AOL,ORIGINAL_GROSS_OPEN_TEXT,FORWARD_GROSS_OPEN_TEXT,ORIGINAL_GROSS_OPEN_WEB,FORWARD_GROSS_OPEN_WEB,ORIGINAL_GROSS_CLICK_HTML,FORWARD_GROSS_CLICK_HTML,ORIGINAL_GROSS_CLICK_AOL,FORWARD_GROSS_CLICK_AOL,ORIGINAL_GROSS_CLICK_TEXT,FORWARD_GROSS_CLICK_TEXT,ORIGINAL_GROSS_CLICK_WEB,FORWARD_GROSS_CLICK_WEB
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 08:15:00.0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,435,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 08:30:00.0,0,0,0,0,0,0,0,0,0,1,0,0,980,0,0,0,0,0,975,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 10:30:00.0,0,0,1,0,0,0,0,0,0,1,0,0,1155,0,0,0,0,0,1145,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 08:45:00.0,0,0,0,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,0,1080,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 09:00:00.0,0,0,0,0,0,0,0,0,0,1,0,0,1137,0,0,0,0,0,1134,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 09:15:00.0,0,0,0,0,0,0,0,0,0,1,0,0,1090,0,0,0,0,0,1084,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 09:30:00.0,0,0,0,0,0,0,0,0,0,2,0,0,1192,0,0,0,0,0,1188,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 09:45:00.0,0,0,0,0,0,0,0,0,0,1,0,0,1232,0,0,0,0,0,1223,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 10:00:00.0,0,0,2,0,0,0,0,0,0,1,0,0,1153,0,0,0,0,0,1144,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 10:15:00.0,0,0,1,0,0,0,0,0,0,2,0,0,1148,0,0,0,0,0,1134,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 13:00:00.0,0,0,0,0,0,0,0,0,0,3,0,0,1349,0,0,0,0,0,1333,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 10:45:00.0,1,0,0,0,0,0,0,0,0,3,0,0,1212,0,0,0,0,0,1195,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 11:00:00.0,0,0,1,0,0,0,0,0,0,2,0,0,1193,0,0,0,0,0,1188,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 11:15:00.0,0,0,0,0,0,0,0,0,0,2,0,0,1234,0,0,0,0,0,1216,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 11:30:00.0,0,0,1,0,0,0,0,0,0,0,0,0,1213,0,0,0,0,0,1207,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 11:45:00.0,0,0,0,0,0,0,0,0,0,2,0,0,1182,0,0,0,0,0,1175,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 12:00:00.0,0,0,2,0,0,0,0,0,0,4,0,0,1331,0,0,0,0,0,1320,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 12:15:00.0,3,0,0,0,0,0,0,0,0,3,0,0,1308,0,0,0,0,0,1298,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 12:30:00.0,0,0,0,0,0,0,0,0,0,1,0,0,1392,0,0,0,0,0,1382,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 12:45:00.0,0,0,0,0,0,0,0,0,0,4,0,0,1357,0,0,0,0,0,1348,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 15:30:00.0,0,0,1,0,0,0,0,0,0,0,0,0,1806,0,0,0,0,0,1792,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 13:15:00.0,0,0,0,0,0,0,0,0,0,1,0,0,1350,0,0,0,0,0,1339,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 13:30:00.0,1,0,1,0,0,0,0,0,0,4,0,0,1471,0,0,0,0,0,1460,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 13:45:00.0,0,0,0,0,0,0,0,0,0,3,0,0,1498,0,0,0,0,0,1490,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 14:00:00.0,0,0,0,0,0,0,0,0,0,1,0,0,1544,0,0,0,0,0,1535,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 14:15:00.0,0,0,1,0,0,0,0,0,0,1,0,0,1475,0,0,0,0,0,1462,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 14:30:00.0,0,0,2,0,0,0,0,0,0,2,0,0,1633,0,0,0,0,0,1626,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 14:45:00.0,2,0,0,0,0,0,0,0,0,2,0,0,1587,0,0,0,0,0,1573,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 15:00:00.0,0,0,1,0,0,0,0,0,0,4,0,0,1691,0,0,0,0,0,1674,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 15:15:00.0,0,0,1,0,0,0,0,0,0,2,0,0,1734,0,0,0,0,0,1718,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 18:00:00.0,0,0,0,0,0,0,0,0,0,5,0,0,2156,0,0,0,0,0,2145,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 15:45:00.0,0,0,0,0,0,0,0,0,0,1,0,0,1804,0,0,0,0,0,1784,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 16:00:00.0,0,0,0,0,0,0,0,0,0,4,0,0,1824,0,0,0,0,0,1811,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 16:15:00.0,0,0,1,0,0,0,0,0,0,2,0,0,1864,0,0,0,0,0,1859,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-12 16:30:00.0,0,0,0,0,0,0,0,0,0,2,0,0,1899,0,0,0,0,0,1881,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
